,Season,EpisodeNo,Title,AirDate,Writers,Director,SEID
0,1,1,"Good News, Bad News",5-Jul-89,Larry David & Jerry Seinfeld,Art Wolff,S01E01
1,1,1,The Stakeout,31-May-90,Larry David & Jerry Seinfeld,Tom Cherones,S01E01
2,1,2,The Robbery,7-Jun-90,Matt Goldman,Tom Cherones,S01E02
3,1,3,Male Unbonding,14-Jun-90,Larry David & Jerry Seinfeld,Tom Cherones,S01E03
4,1,4,The Stock Tip,21-Jun-90,Larry David & Jerry Seinfeld,Tom Cherones,S01E04
5,2,1,The Ex-Girlfriend,16-Jan-91,Larry David & Jerry Seinfeld,Tom Cherones,S02E01
6,2,2,The Pony Remark,30-Jan-91,Larry David & Jerry Seinfeld,Tom Cherones,S02E02
7,2,3,The Jacket,6-Feb-91,Larry David & Jerry Seinfeld,Tom Cherones,S02E03
8,2,4,The Phone Message,13-Feb-91,Larry David & Jerry Seinfeld,Tom Cherones,S02E04
9,2,5,The Apartment,4-Apr-91,Peter Mehlman,Tom Cherones,S02E05
10,2,6,The Statue,11-Apr-91,Larry David,Tom Cherones,S02E06
11,2,7,The Revenge,18-Apr-91,Larry David,Tom Cherones,S02E07
12,2,8,The Heart Attack,25-Apr-91,Larry Charles,Tom Cherones,S02E08
13,2,9,The Deal,2-May-91,Larry Charles,Tom Cherones,S02E09
14,2,10,The Baby Shower,16-May-91,Larry Charles,Tom Cherones,S02E10
15,2,11,The Chinese Restaurant,23-May-91,Larry David & Jerry Seinfeld,Tom Cherones,S02E11
16,2,12,The Busboy,26-Jun-91,Larry David & Jerry Seinfeld,Tom Cherones,S02E12
17,3,1,The Note,18-Sep-91,Larry David,Tom Cherones,S03E01
18,3,2,The Truth,25-Sep-91,Elaine Pope,David Steinberg,S03E02
19,3,3,The Pen,2-Oct-91,Larry David,Tom Cherones,S03E03
20,3,4,The Dog,9-Oct-91,Larry David,Tom Cherones,S03E04
21,3,5,The Library,16-Oct-91,Larry Charles,Joshua White,S03E05
22,3,6,The Parking Garage,30-Oct-91,Larry David,Tom Cherones,S03E06
23,3,7,The Cafe,6-Nov-91,Tom Leopold,Tom Cherones,S03E07
24,3,8,The Tape,13-Nov-91,Larry David  & Bob Shaw & Don McEnery,David Steinberg,S03E08
25,3,9,The Nose Job,20-Nov-91,Peter Mehlman,Tom Cherones,S03E09
26,3,10,The Stranded,27-Nov-91,Larry David & Jerry Seinfeld  & Matt Goldman,Tom Cherones,S03E10
27,3,11,The Alternate Side,4-Dec-91,Larry David  & Bill Masters,Tom Cherones,S03E11
28,3,12,The Red Dot,11-Dec-91,Larry David,Tom Cherones,S03E12
29,3,13,The Subway,8-Jan-92,Larry David,Tom Cherones,S03E13
30,3,14,The Pez Dispenser,15-Jan-92,Larry David,Tom Cherones,S03E14
31,3,15,The Suicide,29-Jan-92,Tom Leopold,Tom Cherones,S03E15
32,3,16,The Fix-Up,5-Feb-92,Elaine Pope & Larry Charles,Tom Cherones,S03E16
33,3,17,The Boyfriend (1),12-Feb-92,Larry David  & Larry Levin,Tom Cherones,S03E17
34,3,18,The Boyfriend (2),12-Feb-92,Larry David  & Larry Levin,Tom Cherones,S03E18
35,3,19,The Limo,26-Feb-92,Larry Charles / Story By Marc Jaffe,Tom Cherones,S03E19
36,3,20,The Good Samaritan,4-Mar-92,Peter Mehlman,Jason Alexander,S03E20
37,3,21,The Letter,25-Mar-92,Larry David,Tom Cherones,S03E21
38,3,22,The Parking Space,22-Apr-92,Larry David  & Greg Daniels,Tom Cherones,S03E22
39,3,23,The Keys,6-May-92,Larry Charles,Tom Cherones,S03E23
40,4,1,The Trip (1),12-Aug-92,Larry Charles,Tom Cherones,S04E01
41,4,2,The Trip (2),19-Aug-92,Larry Charles,Tom Cherones,S04E02
42,4,3,The Pitch,16-Sep-92,Larry Charles,Tom Cherones,S04E03
43,4,4,The Ticket,16-Sep-92,Larry David,Tom Cherones,S04E04
44,4,5,The Wallet (1),23-Sep-92,Larry David,Tom Cherones,S04E05
45,4,6,The Watch (2),30-Sep-92,Larry David,Tom Cherones,S04E06
46,4,7,The Bubble Boy,7-Oct-92,Larry David & Larry Charles,Tom Cherones,S04E07
47,4,8,The Cheever Letters,28-Oct-92,Larry David & Larry Charles,Tom Cherones,S04E08
48,4,9,The Opera,4-Nov-92,Larry Charles,Tom Cherones,S04E09
49,4,10,The Virgin,11-Nov-92,Peter Mehlman,Tom Cherones,S04E10
50,4,11,The Contest,18-Nov-92,Larry David,Tom Cherones,S04E11
51,4,12,The Airport,25-Nov-92,Larry Charles,Tom Cherones,S04E12
52,4,13,The Pick,16-Dec-92,Larry Charles,Tom Cherones,S04E13
53,4,14,The Movie,6-Jan-93,Steve Skrovan & Bill Masters & Jon Hayman,Tom Cherones,S04E14
54,4,15,The Visa,27-Jan-93,Peter Mehlman,Tom Cherones,S04E15
55,4,16,The Shoes,4-Feb-93,Larry David & Jerry Seinfeld,Tom Cherones,S04E16
56,4,17,The Outing,11-Feb-93,Larry Charles,Tom Cherones,S04E17
57,4,18,The Old Man,18-Feb-93,Bruce Kirschbaum,Tom Cherones,S04E18
58,4,19,The Implant,25-Feb-93,Peter Mehlman,Tom Cherones,S04E19
59,4,20,The Junior Mint,18-Mar-93,Andy Robin,Tom Cherones,S04E20
60,4,21,The Smelly Car,15-Apr-93,Larry David & Peter Mehlman,Tom Cherones,S04E21
61,4,22,The Handicap Spot,13-May-93,Larry David,Tom Cherones,S04E22
62,4,23,The Pilot (1),20-May-93,Larry David,Tom Cherones,S04E23
63,4,24,The Pilot (2),20-May-93,Larry David,Tom Cherones,S04E24
64,5,1,The Mango,16-Sep-93,Lawrence H. Levy & Buck Dancer (Larry David pseudonym),Tom Cherones,S05E01
65,5,2,The Puffy Shirt,23-Sep-93,Larry David,Tom Cherones,S05E02
66,5,3,The Glasses,30-Sep-93,Tom Gammill & Max Pross,Tom Cherones,S05E03
67,5,4,The Sniffing Accountant,7-Oct-93,Larry David & Jerry Seinfeld,Tom Cherones,S05E04
68,5,5,The Bris,14-Oct-93,Larry Charles,Tom Cherones,S05E05
69,5,6,The Lip Reader,28-Oct-93,Carol Leifer,Tom Cherones,S05E06
70,5,7,The Non-Fat Yogurt,4-Nov-93,Larry David,Tom Cherones,S05E07
71,5,8,The Barber,11-Nov-93,Andy Robin,Tom Cherones,S05E08
72,5,9,The Masseuse,18-Nov-93,Peter Mehlman,Tom Cherones,S05E09
73,5,10,The Cigar Store Indian,9-Dec-93,Tom Gammill & Max Pross,Tom Cherones,S05E10
74,5,11,The Conversion,16-Dec-93,Bruce Kirschbaum,Tom Cherones,S05E11
75,5,12,The Stall,6-Jan-94,Larry Charles,Tom Cherones,S05E12
76,5,13,The Dinner Party,3-Feb-94,Larry David,Tom Cherones,S05E13
77,5,14,The Marine Biologist,10-Feb-94,Ron Hague & Charlie Rubin,Tom Cherones,S05E14
78,5,15,The Pie,17-Feb-94,Tom Gammill & Max Pross,Tom Cherones,S05E15
79,5,16,The Stand-In,24-Feb-94,Larry David,Tom Cherones,S05E16
80,5,17,The Wife,17-Mar-94,Peter Mehlman,Tom Cherones,S05E17
81,5,18,The Raincoats,April 28 1994,Tom Gammill & Max Pross  & Larry David & Jerry Seinfeld,Tom Cherones,S05E18
82,5,20,The Fire,5-May-94,Larry Charles,Tom Cherones,S05E20
83,5,21,The Hamptons,12-May-94,Peter Mehlman & Carol Leifer,Tom Cherones,S05E21
84,5,22,The Opposite,19-May-94,Andy Cowan  & Larry David & Jerry Seinfeld,Tom Cherones,S05E22
85,6,1,The Chaperone,22-Sep-94,Larry David & Bill Masters & Bob Shaw,Andy Ackerman,S06E01
86,6,2,The Big Salad,29-Sep-94,Larry David,Andy Ackerman,S06E02
87,6,3,The Pledge Drive,6-Oct-94,Tom Gammill & Max Pross,Andy Ackerman,S06E03
88,6,4,The Chinese Woman,13-Oct-94,Peter Mehlman,Andy Ackerman,S06E04
89,6,5,The Couch,27-Oct-94,Larry David,Andy Ackerman,S06E05
90,6,6,The Gymnast,3-Nov-94,Alec Berg & Jeff Schaffer,Andy Ackerman,S06E06
91,6,7,The Soup,10-Nov-94,Fred Stoller,Andy Ackerman,S06E07
92,6,8,The Mom &amp; Pop Store,17-Nov-94,Tom Gammill & Max Pross,Andy Ackerman,S06E08
93,6,9,The Secretary,8-Dec-94,Carol Leifer & Marjorie Gross,David Owen Trainor,S06E09
94,6,10,The Race,15-Dec-94,Tom Gammill & Max Pross  & Larry David,Andy Ackerman,S06E10
95,6,11,The Switch,5-Jan-95,Bruce Kirschbaum  & Sam Kass,Andy Ackerman,S06E11
96,6,12,The Label Maker,19-Jan-95,Alec Berg & Jeff Schaffer,Andy Ackerman,S06E12
97,6,13,The Scofflaw,26-Jan-95,Peter Mehlman,Andy Ackerman,S06E13
98,6,16,The Beard,9-Feb-95,Carol Leifer,Andy Ackerman,S06E16
99,6,17,The Kiss Hello,16-Feb-95,Larry David & Jerry Seinfeld,Andy Ackerman,S06E17
100,6,18,The Doorman,23-Feb-95,Tom Gammill & Max Pross,Andy Ackerman,S06E18
101,6,19,The Jimmy,16-Mar-95,Gregg Kavet & Andy Robin,Andy Ackerman,S06E19
102,6,20,The Doodle,6-Apr-95,Alec Berg & Jeff Schaffer,Andy Ackerman,S06E20
103,6,21,The Fusilli Jerry,27-Apr-95,Marjorie Gross,Andy Ackerman,S06E21
104,6,22,The Diplomat's Club,4-May-95,Tom Gammill & Max Pross,Andy Ackerman,S06E22
105,6,23,The Face Painter,11-May-95,Larry David,Andy Ackerman,S06E23
106,6,24,The Understudy,18-May-95,Marjorie Gross & Carol Leifer,Andy Ackerman,S06E24
107,7,1,The Engagement,21-Sep-95,Larry David,Andy Ackerman,S07E01
108,7,2,The Postponement,28-Sep-95,Larry David,Andy Ackerman,S07E02
109,7,3,The Maestro,5-Oct-95,Larry David,Andy Ackerman,S07E03
110,7,4,The Wink,12-Oct-95,Tom Gammill & Max Pross,Andy Ackerman,S07E04
111,7,5,The Hot Tub,19-Oct-95,Gregg Kavet & Andy Robin,Andy Ackerman,S07E05
112,7,6,The Soup Nazi,2-Nov-95,Spike Feresten,Andy Ackerman,S07E06
113,7,7,The Secret Code,9-Nov-95,Alec Berg & Jeff Schaffer,Andy Ackerman,S07E07
114,7,8,The Pool Guy,16-Nov-95,David Mandel,Andy Ackerman,S07E08
115,7,9,The Sponge,7-Dec-95,Peter Mehlman,Andy Ackerman,S07E09
116,7,10,The Gum,14-Dec-95,Tom Gammill & Max Pross,Andy Ackerman,S07E10
117,7,11,The Rye,4-Jan-96,Carol Leifer,Andy Ackerman,S07E11
118,7,12,The Caddy,25-Jan-96,Gregg Kavet & Andy Robin,Andy Ackerman,S07E12
119,7,13,The Seven,1-Feb-96,Alec Berg & Jeff Schaffer,Andy Ackerman,S07E13
120,7,14,The Cadillac (1),8-Feb-96,Larry David & Jerry Seinfeld,Andy Ackerman,S07E14
121,7,15,The Cadillac (2),8-Feb-96,Larry David & Jerry Seinfeld,Andy Ackerman,S07E15
122,7,16,The Shower Head,15-Feb-96,Peter Mehlman & Marjorie Gross,Andy Ackerman,S07E16
123,7,17,The Doll,22-Feb-96,Tom Gammill & Max Pross,Andy Ackerman,S07E17
124,7,18,The Friars Club (a.k.a. The Gypsies),7-Mar-96,David Mandel,Andy Ackerman,S07E18
125,7,19,The Wig Master,4-Apr-96,Spike Feresten,Andy Ackerman,S07E19
126,7,20,The Calzone,25-Apr-96,Alec Berg & Jeff Schaffer,Andy Ackerman,S07E20
127,7,21,The Bottle Deposit (1),2-May-96,Gregg Kavet & Andy Robin,Andy Ackerman,S07E21
128,7,22,The Bottle Deposit (2),2-May-96,Gregg Kavet & Andy Robin,Andy Ackerman,S07E22
129,7,23,The Wait Out,9-May-96,Peter Mehlman,Andy Ackerman,S07E23
130,7,24,The Invitations,16-May-96,Larry David,Andy Ackerman,S07E24
