No. overall,No. in season,Season,Title,Directed by,Written by,Original air date,Prod Code,U.S. viewers (millions),SEID
1,1,1,The Seinfeld Chronicles,Art Wolff,Larry David & Jerry Seinfeld,5-Jul-89,,15.4,S01E01
2,2,1,The Stake Out,Tom Cherones,Larry David & Jerry Seinfeld,31-May-90,,22.5,S01E02
3,3,1,The Robbery,Tom Cherones,Matt Goldman,7-Jun-90,,19.7,S01E03
4,4,1,Male Unbonding,Tom Cherones,Larry David & Jerry Seinfeld,14-Jun-90,,19.1,S01E04
5,5,1,The Stock Tip,Tom Cherones,Larry David & Jerry Seinfeld,21-Jun-90,,19.4,S01E05
6,1,2,The Ex-Girlfriend,Tom Cherones,Larry David & Jerry Seinfeld,23-Jan-91,201,15.6,S02E01
7,2,2,The Pony Remark,Tom Cherones,Larry David & Jerry Seinfeld,30-Jan-91,202,15.2,S02E02
8,3,2,The Jacket,Tom Cherones,Larry David & Jerry Seinfeld,6-Feb-91,205,14.8,S02E03
9,4,2,The Phone Message,Tom Cherones,Larry David & Jerry Seinfeld,13-Feb-91,207,13.6,S02E04
10,5,2,The Apartment,Tom Cherones,Peter Mehlman,4-Apr-91,208,24.7,S02E05
11,6,2,The Statue,Tom Cherones,Larry Charles,11-Apr-91,210,23.3,S02E06
12,7,2,The Revenge,Tom Cherones,Larry David,18-Apr-91,212,19.6,S02E07
13,8,2,The Heart Attack,Tom Cherones,Larry Charles,25-Apr-91,211,20.6,S02E08
14,9,2,The Deal,Tom Cherones,Larry David,2-May-91,213,22.9,S02E09
15,10,2,The Baby Shower,Tom Cherones,Larry Charles,16-May-91,204,17.2,S02E10
16,11,2,The Chinese Restaurant,Tom Cherones,Larry David & Jerry Seinfeld,23-May-91,206,16.8,S02E11
17,12,2,The Busboy,Tom Cherones,Larry David & Jerry Seinfeld,26-Jun-91,203,12.5,S02E12
18,1,3,The Note,Tom Cherones,Larry David,18-Sep-91,301,21.7,S03E01
19,2,3,The Truth,David Steinberg,Elaine Pope,25-Sep-91,302,16.7,S03E02
20,3,3,The Pen,Tom Cherones,Larry David,2-Oct-91,305,15.1,S03E03
21,4,3,The Dog,Tom Cherones,Larry David,9-Oct-91,303,17.2,S03E04
22,5,3,The Library,Joshua White,Larry Charles,16-Oct-91,304,16.4,S03E05
23,6,3,The Parking Garage,Tom Cherones,Larry David,30-Oct-91,306,17,S03E06
24,7,3,The Cafe,Tom Cherones,Tom Leopold,6-Nov-91,307,16.4,S03E07
25,8,3,The Tape,David Steinberg,Larry David & Bob Shaw & Don McEnery,13-Nov-91,308,15.8,S03E08
26,9,3,The Nose Job,Tom Cherones,Peter Mehlman,20-Nov-91,309,16.3,S03E09
27,10,3,The Stranded,Tom Cherones,Larry David & Jerry Seinfeld & Matt Goldman,27-Nov-91,209,18.6,S03E10
28,11,3,The Alternate Side,Tom Cherones,Larry David and Bill Masters,4-Dec-91,310,18,S03E11
29,12,3,The Red Dot,Tom Cherones,Larry David,11-Dec-91,311,17.9,S03E12
30,13,3,The Subway,Tom Cherones,Larry Charles,8-Jan-92,313,18.7,S03E13
31,14,3,The Pez Dispenser,Tom Cherones,Larry David,15-Jan-92,314,19.2,S03E14
32,15,3,The Suicide,Tom Cherones,Tom Leopold,29-Jan-92,312,16.9,S03E15
33,16,3,The Fix-Up,Tom Cherones,Elaine Pope & Larry Charles,5-Feb-92,317,18.5,S03E16
34,17,3,The Boyfriend,Tom Cherones,Larry David & Larry Levin,12-Feb-92,315,17,S03E17
35,18,3,The New Friend,Tom Cherones,Larry David & Larry Levin,12-Feb-92,316,17,S03E18
36,19,3,The Limo,Tom Cherones,Marc Jaffe & Larry Charles,26-Feb-92,318,19.5,S03E19
