SEID,"No.
 overall","No. in
 season",Title,Directed by,Written by,Original air date,Prod. Code,"U.S. viewers
 (millions)",Views
S01E01,1,1,"""The Seinfeld Chronicles""",Art Wolff,Larry David & Jerry Seinfeld,"July 5, 1989 (1989-07-05)",,15.4[10],15.4
S01E02,2,2,"""The Stake Out""",Tom Cherones,Larry David & Jerry Seinfeld,"May 31, 1990 (1990-05-31)",,22.5[11],22.5
S01E03,3,3,"""The Robbery""",Tom Cherones,Matt Goldman,"June 7, 1990 (1990-06-07)",,19.7[12],19.7
S01E04,4,4,"""Male Unbonding""",Tom Cherones,Larry David & Jerry Seinfeld,"June 14, 1990 (1990-06-14)",,19.1[13],19.1
S01E05,5,5,"""The Stock Tip""",Tom Cherones,Larry David & Jerry Seinfeld,"June 21, 1990 (1990-06-21)",,19.4[14],19.4
S02E01,6,1,"""The Ex-Girlfriend""",Tom Cherones,Larry David & Jerry Seinfeld,"January 23, 1991 (1991-01-23)",201,15.6[17],15.6
S02E02,7,2,"""The Pony Remark""",Tom Cherones,Larry David & Jerry Seinfeld,"January 30, 1991 (1991-01-30)",202,15.2[18],15.2
S02E03,8,3,"""The Jacket""",Tom Cherones,Larry David & Jerry Seinfeld,"February 6, 1991 (1991-02-06)",205,14.8[19],14.8
S02E04,9,4,"""The Phone Message""",Tom Cherones,Larry David & Jerry Seinfeld,"February 13, 1991 (1991-02-13)",207,13.6[20],13.6
S02E05,10,5,"""The Apartment""",Tom Cherones,Peter Mehlman,"April 4, 1991 (1991-04-04)",208,24.7[21],24.7
S02E06,11,6,"""The Statue""",Tom Cherones,Larry Charles,"April 11, 1991 (1991-04-11)",210,23.3[22],23.3
S02E07,12,7,"""The Revenge""",Tom Cherones,Larry David,"April 18, 1991 (1991-04-18)",212,19.6[23],19.6
S02E08,13,8,"""The Heart Attack""",Tom Cherones,Larry Charles,"April 25, 1991 (1991-04-25)",211,20.6[24],20.6
S02E09,14,9,"""The Deal""",Tom Cherones,Larry David,"May 2, 1991 (1991-05-02)",213,22.9[25],22.9
S02E10,15,10,"""The Baby Shower""",Tom Cherones,Larry Charles,"May 16, 1991 (1991-05-16)",204,17.2[26],17.2
S02E11,16,11,"""The Chinese Restaurant""",Tom Cherones,Larry David & Jerry Seinfeld,"May 23, 1991 (1991-05-23)",206,16.8[27],16.8
S02E12,17,12,"""The Busboy""",Tom Cherones,Larry David & Jerry Seinfeld,"June 26, 1991 (1991-06-26)",203,12.5[28],12.5
S03E01,18,1,"""The Note""",Tom Cherones,Larry David,"September 18, 1991 (1991-09-18)",301,21.7[29],21.7
S03E02,19,2,"""The Truth""",David Steinberg,Elaine Pope,"September 25, 1991 (1991-09-25)",302,16.7[30],16.7
S03E03,20,3,"""The Pen""",Tom Cherones,Larry David,"October 2, 1991 (1991-10-02)",305,15.1[31],15.1
S03E04,21,4,"""The Dog""",Tom Cherones,Larry David,"October 9, 1991 (1991-10-09)",303,17.2[32],17.2
S03E05,22,5,"""The Library""",Joshua White,Larry Charles,"October 16, 1991 (1991-10-16)",304,16.4[33],16.4
S03E06,23,6,"""The Parking Garage""",Tom Cherones,Larry David,"October 30, 1991 (1991-10-30)",306,17.0[34],17
S03E07,24,7,"""The Cafe""",Tom Cherones,Tom Leopold,"November 6, 1991 (1991-11-06)",307,16.4[35],16.4
S03E08,25,8,"""The Tape""",David Steinberg,Larry David and Bob Shaw & Don McEnery,"November 13, 1991 (1991-11-13)",308,15.8[36],15.8
S03E09,26,9,"""The Nose Job""",Tom Cherones,Peter Mehlman,"November 20, 1991 (1991-11-20)",309,16.3[37],16.3
S03E10,27,10,"""The Stranded""",Tom Cherones,Larry David & Jerry Seinfeld and Matt Goldman,"November 27, 1991 (1991-11-27)",209,18.6[39],18.6
S03E11,28,11,"""The Alternate Side""",Tom Cherones,Larry David and Bill Masters,"December 4, 1991 (1991-12-04)",310,18.0[40],18
S03E12,29,12,"""The Red Dot""",Tom Cherones,Larry David,"December 11, 1991 (1991-12-11)",311,17.9[41],17.9
S03E13,30,13,"""The Subway""",Tom Cherones,Larry Charles,"January 8, 1992 (1992-01-08)",313,18.7[42],18.7
S03E14,31,14,"""The Pez Dispenser""",Tom Cherones,Larry David,"January 15, 1992 (1992-01-15)",314,19.2[43],19.2
S03E15,32,15,"""The Suicide""",Tom Cherones,Tom Leopold,"January 29, 1992 (1992-01-29)",312,16.9[44],16.9
