Episode,Lines,Views,Elaine_Lines,George_Lines,Jerry_Lines,Lines
S01E01,557,15.4,53,98,250,7
S01E02,280,22.5,57,68,110,18
S01E03,241,19.7,19,51,102,24
S01E04,230,19.1,29,44,102,18
S02E01,245,15.6,23,55,107,37
S02E02,250,15.2,31,12,90,23
S02E03,261,14.8,33,53,97,35
S02E04,264,13.6,15,89,92,9
S02E05,281,24.7,51,43,102,29
S02E06,292,23.3,41,56,87,30
S02E07,271,19.6,22,83,83,32
S02E08,224,20.6,18,59,60,18
S02E09,294,22.9,82,52,134,19
S02E10,233,17.2,40,43,75,29
S02E11,239,16.8,60,48,75,0
S02E12,223,12.5,50,49,57,23
S03E01,335,21.7,45,91,108,24
S03E02,261,16.7,52,68,78,32
S03E03,391,15.1,41,0,107,0
S03E04,261,17.2,68,53,93,21
S03E05,226,16.4,26,37,74,33
S03E06,281,17,59,65,73,51
S03E07,343,16.4,80,77,92,30
S03E08,316,15.8,49,99,107,45
S03E09,264,16.3,41,69,47,35
S03E10,331,18.6,34,76,121,14
S03E11,317,18,59,40,113,50
S03E12,282,17.9,60,86,90,8
S03E13,180,18.7,24,41,33,16
S03E14,288,19.2,36,75,79,27
S03E15,331,16.9,26,55,111,46
S03E16,300,18.5,80,69,99,16
S03E17,301,17,44,63,114,35
S03E18,229,17,34,44,53,32
S03E19,271,19.5,31,84,68,30
S03E20,308,16.1,77,58,107,28
S03E21,303,22.3,54,55,65,32
S03E22,397,17.8,63,96,85,58
S03E23,295,16.4,33,62,84,56
S04E01,289,16.3,0,79,62,38
S04E02,266,15.1,0,83,90,34
S04E03,360,17.6,3,100,151,38
S04E04,351,17.6,3,81,110,60
S04E05,362,17.6,45,36,91,36
S04E06,345,15.2,29,51,72,47
S04E07,363,17.1,46,68,100,24
S04E08,338,15.1,27,88,102,27
S04E09,299,16.7,48,36,94,55
S04E10,316,16.2,24,76,118,34
S04E11,339,18.5,66,77,91,29
S04E12,245,14.5,50,37,53,33
S04E13,288,16.2,46,50,79,50
S04E14,234,17.6,56,43,35,15
S04E15,299,11.5,59,57,102,18
S04E16,304,26.9,36,57,88,23
S04E17,204,28,16,66,64,12
S04E18,247,22.7,28,34,62,34
S04E19,275,27.4,44,34,77,35
S04E20,378,26.4,42,68,144,58
S04E21,238,25,35,57,65,13
S04E22,325,27.6,58,73,81,51
S04E23,347,32.8,44,50,87,31
S04E24,278,32.8,28,44,76,12
S05E01,364,28.2,69,64,133,47
S05E02,297,29.5,25,67,71,48
S05E03,324,28.7,47,72,96,39
S05E04,347,28.4,61,32,80,49
S05E05,268,28.7,44,43,70,46
S05E06,297,31,33,75,79,42
S05E07,340,31.1,63,55,74,47
S05E08,291,29.7,27,51,76,35
S05E09,370,27.7,57,64,97,29
S05E10,339,29.6,60,44,80,37
S05E11,302,28.3,38,60,76,34
S05E12,357,35,80,48,94,56
S05E13,347,33,92,80,75,59
S05E14,351,35,75,53,106,33
S05E16,346,25.4,36,57,82,43
S05E17,347,30.7,58,25,91,24
S05E18,730,29.6,44,100,149,72
S05E20,294,27.6,26,54,71,34
S05E21,314,24.5,48,67,79,38
S05E22,299,30.1,60,43,65,24
S06E01,296,32.8,39,41,67,42
S06E02,291,32.4,59,40,89,27
S06E03,322,29.8,53,36,97,39
S06E04,318,29.2,69,39,91,43
S06E05,331,28,56,41,77,37
S06E06,283,30.6,44,42,81,46
S06E07,391,29.6,51,68,133,38
S06E08,293,32.4,31,54,76,46
S06E09,325,29.7,44,45,92,51
S06E10,295,26.8,45,50,62,30
S06E11,314,36.6,51,81,74,41
S06E12,333,36.2,42,72,112,28
S06E13,350,33.4,41,93,77,42
S06E16,297,32.9,72,51,91,38
S06E17,381,33.4,54,47,124,48
S06E18,331,33.4,47,41,63,48
S06E19,303,31.1,57,49,67,67
S06E20,321,30.7,73,52,88,37
S06E21,331,28.2,51,54,82,42
S06E22,259,28.9,30,33,57,31
S06E23,299,26.5,51,42,84,52
S06E24,239,29.8,39,16,50,36
S07E01,312,37.6,40,75,84,42
S07E02,308,34.5,58,67,94,29
S07E03,384,34.6,42,60,90,70
S07E04,340,32.3,65,51,65,51
S07E05,282,32.6,49,37,89,28
S07E06,393,33.1,84,70,96,51
S07E07,299,33.9,40,65,76,28
S07E08,354,33.4,58,60,106,52
S07E09,325,32.3,46,72,70,22
S07E10,350,31.4,31,80,56,71
S07E11,295,35.1,32,55,61,37
S07E12,345,32,36,41,69,57
S07E13,345,37.1,61,57,75,62
S07E14,372,35.9,36,70,88,36
S07E15,266,35.9,64,44,27,4
S07E16,314,32.3,55,36,75,25
S07E17,313,32.9,44,39,75,33
S07E18,389,32.7,33,78,137,45
S07E19,355,30.5,68,38,73,53
S07E20,296,28.5,54,48,71,40
S07E21,267,32.4,32,46,65,26
S07E22,261,32.4,34,19,51,47
S07E23,309,29.9,56,39,81,41
S07E24,332,33.2,20,77,84,59
S08E01,315,33.7,52,65,92,37
S08E02,306,33.2,40,47,69,47
S08E03,302,31.6,50,41,89,38
S08E04,324,32.2,57,48,95,61
S08E05,325,30.1,53,55,74,44
S08E06,271,30.3,35,34,76,31
S08E07,357,32,57,44,104,52
S08E08,319,34.1,52,51,80,46
S08E09,309,34.4,39,59,85,36
S08E10,301,29.7,33,46,83,33
S08E11,345,34.5,39,53,95,52
S08E12,362,37.3,52,57,60,50
S08E13,286,33.5,64,35,61,46
S08E14,301,33.8,42,54,51,49
S08E15,295,32,55,54,70,59
S08E16,297,33.8,62,34,91,42
S08E17,387,31.3,41,42,103,45
S08E18,281,32.2,54,44,58,39
S08E19,294,31.6,36,32,80,39
S08E20,305,29.3,30,37,90,55
S08E21,287,31.1,38,40,56,62
S08E22,328,29.8,35,59,100,49
S09E01,312,37.8,30,64,89,45
S09E02,372,30.9,52,54,117,54
S09E03,307,30.2,52,58,77,36
S09E04,303,31.5,42,44,89,53
S09E05,321,30.2,23,57,77,59
S09E06,298,31.6,47,49,68,58
S09E07,344,32.8,61,75,81,81
S09E08,438,34,79,67,100,51
S09E09,318,30.5,45,62,67,41
S09E10,365,30.8,54,66,71,51
S09E11,352,32.9,40,76,71,37
S09E12,332,33.5,57,45,84,58
S09E13,275,33.2,52,47,89,32
S09E14,338,31.6,68,60,102,40
S09E15,341,30.5,65,58,65,38
S09E16,287,30.9,44,56,67,30
S09E17,301,29.6,36,36,76,37
S09E18,299,30.7,41,54,72,33
S09E19,364,33.3,58,45,105,56
S09E20,316,38.8,48,49,75,57
S09E23,713,76.3,75,126,151,38
