SEID,Jerry Sentiment,Elaine Sentiment,George Sentiment,Kramer Sentiment,Sentiment,Views,Pearsons Elaine,Pearsons George,Pearsons Jerry,Pearsons Kramer,Pearson's All
S01E01,0.028298148,0.096681267,0.07251889,-0.035714286,0.040446005,15.4,-0.044247251,-0.064055072,-0.029920464,0.065855177,-0.03241628
S01E02,0.058107535,0.107095105,0.055136846,-0.062689594,0.039412473,22.5,,,,,
S01E03,0.010378373,0.001315789,-0.008025988,0.171875,0.043885794,19.7,,,,,
S01E04,0.068951276,-0.039248768,0.05273116,0.054112554,0.034136556,19.1,,,,,
S02E01,0.045663758,-0.013550868,0.111820346,0.129810167,0.068435851,15.6,,,,,
S02E02,-0.029232066,0.037707722,0.000902778,-0.019762846,-0.002596103,15.2,,,,,
S02E03,0.01465037,0.0876665,0.041319498,0.053234385,0.049217688,14.8,,,,,
S02E04,0.070311826,0.092222222,0.064557968,0.109379509,0.084117881,13.6,,,,,
S02E05,0.029003315,0.040347841,-0.012646398,0.063975034,0.030169948,24.7,,,,,
S02E06,0.031037737,0.039851916,0.01494898,0.076602183,0.040610204,23.3,,,,,
S02E07,0.10449652,0.111888528,0.059057181,0.017191446,0.073158419,19.6,,,,,
S02E08,0.06375942,-0.017708333,0.039639831,0.112673611,0.049591132,20.6,,,,,
S02E09,0.035738479,0.030429733,0.083476038,0.074711779,0.056089007,22.9,,,,,
S02E10,-0.012459089,0.057552083,0.043209238,0.040065961,0.032092048,17.2,,,,,
S02E11,-0.009139304,-0.018505622,0.041276559,,0.004543878,16.8,,,,,
S02E12,0.063071095,-0.027042749,-0.010143343,-0.043478261,-0.004398314,12.5,,,,,
S03E01,0.000461355,0.035037478,0.069891418,0.040029762,0.036355003,21.7,,,,,
S03E02,0.023439418,0.029665647,0.044816371,0.046151245,0.03601817,16.7,,,,,
S03E03,0.076527413,0.066710221,,,0.071618817,15.1,,,,,
S03E04,-0.00520687,0.029223856,0.014407425,0.040228819,0.019663307,17.2,,,,,
S03E05,0.046095494,-0.033882784,-0.001975726,0.039116162,0.012338286,16.4,,,,,
S03E06,0.033592851,0.041534687,0.018366703,-0.007663823,0.021457604,17,,,,,
S03E07,0.037164077,0.0531188,0.071483808,0.012954545,0.043680308,16.4,,,,,
S03E08,-0.007593795,0.038247085,0.047634079,0.044866656,0.030788506,15.8,,,,,
S03E09,-0.015301418,0.100377468,0.108233541,0.065547619,0.064714302,16.3,,,,,
S03E10,0.081010325,0.069380252,0.085841348,-0.036952003,0.04981998,18.6,,,,,
S03E11,0.068963497,0.014775404,-0.009480938,0.009804113,0.021015519,18,,,,,
S03E12,0.019701489,0.019312831,0.058345792,0.176784442,0.068536138,17.9,,,,,
S03E13,0.043626744,0.044925595,0.073529326,0.039490327,0.050392998,18.7,,,,,
S03E14,0.06287397,0.133224206,0.076835642,0.070072751,0.085751643,19.2,,,,,
S03E15,0.041286091,-0.011538462,0.043698593,0.073839717,0.036821485,16.9,,,,,
S03E16,0.124776936,0.070441096,0.124516621,0.000130208,0.079966215,18.5,,,,,
S03E17,0.068111907,-0.014887716,0.062190728,0.041860355,0.039318818,17,,,,,
S03E18,0.052908243,0.020938375,0.11751195,0.012574405,0.050983243,17,,,,,
S03E19,0.024161653,-0.012520908,0.033720541,-0.000455688,0.0112264,19.5,,,,,
S03E20,0.019787234,0.042084598,0.008886121,0.030006378,0.025191083,16.1,,,,,
S03E21,0.110671551,0.042957574,0.051459231,0.104412202,0.07737514,22.3,,,,,
S03E22,0.044621654,0.015623543,0.104875579,0.011259921,0.044095174,17.8,,,,,
S03E23,0.029085176,0.024267294,0.006469214,0.024511763,0.021083362,16.4,,,,,
S04E01,0.017635902,,0.079257311,0.129650689,0.075514634,16.3,,,,,
S04E02,0.097595479,,-0.010897436,0.107620361,0.064772801,15.1,,,,,
S04E03,0.044247963,0,0.072144444,0.016367386,0.033189948,17.6,,,,,
S04E04,0.06439849,0.045454545,0.06193591,0.011097132,0.045721519,17.6,,,,,
S04E05,0.012856687,0.050277116,0.04453125,0.026912478,0.033644383,17.6,,,,,
S04E06,0.080061653,0.084277504,0.081539202,0.18706307,0.108235357,15.2,,,,,
S04E07,0.011324766,0.053288906,0.058522409,0.042176871,0.041328238,17.1,,,,,
S04E08,0.014034687,0.198416122,0.042844845,0.05107674,0.076593099,15.1,,,,,
S04E09,-0.029537187,0.026512784,0.069771825,0.075143579,0.03547275,16.7,,,,,
S04E10,0.051983959,0.040632401,0.055216296,0.006524276,0.038589233,16.2,,,,,
S04E11,0.011874673,0.048620499,-0.026667118,0.058569751,0.023099451,18.5,,,,,
S04E12,0.081278658,0.07006746,0.06286465,0.122126022,0.084084198,14.5,,,,,
S04E13,0.047115162,0.026714471,0.116131899,0.042821429,0.05819574,16.2,,,,,
S04E14,0.089071429,-0.004140758,0.077923127,0.096309524,0.06479083,17.6,,,,,
S04E15,0.068422035,0.101217716,0.070544878,-0.046380674,0.048450989,11.5,,,,,
S04E16,0.061279461,0.027213771,0.122271905,0.075483092,0.071562057,26.9,,,,,
S04E17,0.009991157,0.122005208,0.052482687,-0.004092262,0.045096698,28,,,,,
S04E18,0.013821685,0.111468963,0.115088848,-0.053186275,0.046798305,22.7,,,,,
S04E19,0.050406918,0.04771067,-0.012184874,-0.000334821,0.021399473,27.4,,,,,
S04E20,0.043385172,0.086883632,0.042126225,0.092881089,0.06631903,26.4,,,,,
S04E21,-0.025539174,0.010606399,0.015727861,0.07465035,0.018861359,25,,,,,
S04E22,0.131658636,0.099948686,0.015662434,0.12833775,0.093901876,27.6,,,,,
S04E23,0.067154343,-0.006850838,0.098291679,0.056564687,0.053789968,32.8,,,,,
S04E24,0.006632217,0.063596939,0.051219472,-0.036346726,0.021275475,32.8,,,,,
S05E01,0.02879013,0.025360515,0.080283978,0.016900963,0.037833896,28.2,,,,,
S05E02,-0.003147712,-0.001888889,0.018895132,0.105107436,0.029741492,29.5,,,,,
S05E03,0.011046524,-0.044787885,0.04690801,0.053925369,0.016773004,28.7,,,,,
S05E04,-0.001117593,0.064173941,0.068482143,-0.019010992,0.028131875,28.4,,,,,
S05E05,0.00831786,0.046729888,0.032734145,-0.00961385,0.019542011,28.7,,,,,
S05E06,0.104921354,0.068650356,0.056852381,0.094295506,0.081179899,31,,,,,
S05E07,0.056421874,0.069903471,0.133731602,0.040425532,0.07512062,31.1,,,,,
S05E08,0.067862364,0.091872428,0.060575397,0.024795918,0.061276527,29.7,,,,,
S05E09,0.065124971,0.067485454,0.14015067,0.02581795,0.074644761,27.7,,,,,
S05E10,0.050946654,0.012456349,0.062236816,0.090299228,0.053984762,29.6,,,,,
S05E11,0.01448597,0.056339808,0.045191799,0.019411765,0.033857335,28.3,,,,,
S05E12,0.005597777,0.042579049,0.055698165,0.045002126,0.037219279,35,,,,,
