Character,Frequency,Word
ELAINE,18,close
ELAINE,23,dinner
ELAINE,1,cared
ELAINE,2,skank
ELAINE,16,trouble
ELAINE,1,excapes
ELAINE,1,you;
ELAINE,1,900
ELAINE,1,spots
ELAINE,6,manuscript
ELAINE,1,lemon
ELAINE,1,old-fashioned
ELAINE,1,werent
ELAINE,24,forget
ELAINE,1,spell
ELAINE,10,label
ELAINE,1,puffy
ELAINE,4,high-five
ELAINE,5,parking
ELAINE,2,tolstoy
ELAINE,1,steam
ELAINE,1,don't-mess-with-johnny
ELAINE,2,arent
ELAINE,6,sarcastically
ELAINE,1,lawsuit
ELAINE,29,than
ELAINE,1,deepest
ELAINE,1,12
ELAINE,9,invitation
ELAINE,1,international
ELAINE,1,20s
ELAINE,1,lane
ELAINE,1,buffer
ELAINE,4,atomic
ELAINE,1,zealously
ELAINE,1,avoiding
ELAINE,1,castro
ELAINE,5,theyre
ELAINE,30,course
ELAINE,1,ethan's
ELAINE,1,oclock
ELAINE,94,doing
ELAINE,1,loudly]
ELAINE,5,girls
ELAINE,1,plunder
ELAINE,1,picnic
ELAINE,1,fourth
ELAINE,2,woo
ELAINE,1,runner
ELAINE,1,crest
ELAINE,1,somebodys
ELAINE,1,shrapnel
ELAINE,1,pausing
ELAINE,11,alone
ELAINE,1,peaches
ELAINE,46,day
ELAINE,1,matsushimi
ELAINE,1,directed
ELAINE,1,reeks
ELAINE,4,speaking
ELAINE,2,nooo
ELAINE,3,alan
ELAINE,1,lickner
ELAINE,3,promise
ELAINE,3,dot
ELAINE,1,terrain
ELAINE,1,sleeps
ELAINE,2,e
ELAINE,1,we're-we're
ELAINE,1,vermont
ELAINE,1,'reer'
ELAINE,2,friend's
ELAINE,2,blew
ELAINE,1,eatin'
ELAINE,1,one-fifty
ELAINE,1,lurchy
ELAINE,2,slightest
ELAINE,1,breathy
ELAINE,1,delish
ELAINE,209,mean
ELAINE,13,ridiculous
ELAINE,2,blows
ELAINE,1,mexican
ELAINE,3,schindler's
ELAINE,13,sees
ELAINE,2,rolling
ELAINE,2,bull
ELAINE,1,choke
ELAINE,1,camp
ELAINE,14,sweater
ELAINE,2,want's
ELAINE,2,humm
ELAINE,1,but--
ELAINE,1,blunter
ELAINE,1,clicking
ELAINE,2,millers
ELAINE,7,outta
ELAINE,11,miss
ELAINE,1,dermatology
ELAINE,1,sooner
ELAINE,1,jump
ELAINE,2,drunk
ELAINE,2,yu
ELAINE,1,guys--what's
ELAINE,1,auburn
ELAINE,17,sue
ELAINE,4,witchy
ELAINE,7,straight
ELAINE,50,door
ELAINE,22,break
ELAINE,1,rope
ELAINE,1,sued
ELAINE,1,spleen
ELAINE,1,whaddya
ELAINE,1,gang
ELAINE,1,cuddle
ELAINE,1,foolin'
ELAINE,1,poppies
ELAINE,1,3-d
ELAINE,1,original
ELAINE,3,demanding
ELAINE,1,bloomingdales
ELAINE,1,arab
ELAINE,1,ruthless
ELAINE,1,sucking
ELAINE,3,richie
ELAINE,1,mount
ELAINE,1,make-out
ELAINE,1,striptease
ELAINE,10,insane
ELAINE,1,welp
ELAINE,4,weight
ELAINE,1,argh
ELAINE,1,irrevocable
ELAINE,2,slice
ELAINE,1,heroes
ELAINE,1,dieting
ELAINE,1,folks
ELAINE,1,delighted
ELAINE,1,misled
ELAINE,1,yella
ELAINE,8,papers
ELAINE,1,hitler
ELAINE,1,treat
ELAINE,1,ooohh
ELAINE,1,massaging
ELAINE,2,passing
ELAINE,1,briefcase
ELAINE,1,campaign
ELAINE,6,florida
ELAINE,1,hellooo
ELAINE,3,'the
ELAINE,1,e-mail
ELAINE,1,ladies
ELAINE,54,anyway
ELAINE,7,hum
ELAINE,153,now
ELAINE,3,editing
ELAINE,1,scratches
ELAINE,3,setting
ELAINE,1,ez
ELAINE,4,volunteer
ELAINE,124,ha
ELAINE,1,influence
ELAINE,3,lasagna
ELAINE,1,one-on-one
ELAINE,5,acting
ELAINE,1,advises
ELAINE,1,minimum
ELAINE,1,extensive
ELAINE,1,mmmmm
ELAINE,4,gentlemen
ELAINE,1,multiplied
ELAINE,4,jerk
ELAINE,1,clings
ELAINE,1,mistah
ELAINE,4,large
ELAINE,2,mishap
ELAINE,1,luxurious
ELAINE,3,aware
ELAINE,2,tiny
ELAINE,10,eyes
ELAINE,4,pendant
ELAINE,1,dam
ELAINE,1,dared
ELAINE,1,laws
ELAINE,1,snaps
ELAINE,1,churn
ELAINE,3,tunnel
ELAINE,10,tim
ELAINE,1,plumb
ELAINE,1,ramon
ELAINE,1,number's
ELAINE,4,soda
ELAINE,9,town
ELAINE,1,bryant
ELAINE,2,therapist
ELAINE,1,relevant
ELAINE,1,cranium
ELAINE,1,disapprovingly
ELAINE,1,manya
ELAINE,1,here--here
ELAINE,2,u
ELAINE,1,tube
ELAINE,3,bidding
ELAINE,1,waah
ELAINE,25,hu
ELAINE,1,reiterating
ELAINE,4,waitresses
ELAINE,7,bottle
ELAINE,3,writer
ELAINE,2,below
ELAINE,2,melrose
ELAINE,1,wed
ELAINE,1,ostracized
ELAINE,4,marla
ELAINE,4,tired
ELAINE,1,jiggle
ELAINE,2,refused
ELAINE,1,grak's
ELAINE,2,compliment
ELAINE,2,katie
ELAINE,1,checked
ELAINE,1,stan
ELAINE,1,president's
ELAINE,1,belmont
ELAINE,49,wanna
ELAINE,3,fell
ELAINE,1,widen
ELAINE,1,cheap
ELAINE,1,strength
ELAINE,2,sable
ELAINE,1,request-
ELAINE,11,purse
ELAINE,3,ooooh
ELAINE,13,almost
ELAINE,14,though
ELAINE,7,airport
ELAINE,51,last
ELAINE,1,walker
ELAINE,1,st
ELAINE,2,weak
ELAINE,1,receipt
ELAINE,3,roxanne
ELAINE,9,pounds
ELAINE,1,vey
ELAINE,3,bite
ELAINE,13,seat
ELAINE,1,pedalling
ELAINE,4,example
ELAINE,3,pen
ELAINE,2,mountain
ELAINE,4,doggy
ELAINE,7,problems
ELAINE,1,fences
ELAINE,1,yank
ELAINE,9,moved
ELAINE,1,jog
ELAINE,2,crossing
ELAINE,1,intrigued
ELAINE,2,boom
ELAINE,2,shoe
ELAINE,1,rabies
ELAINE,1,print
ELAINE,1,sympathies
ELAINE,2,gown
ELAINE,1,barging
ELAINE,127,some
ELAINE,1,poland
ELAINE,1,russ
ELAINE,1,soup's
ELAINE,1,he--he--he
ELAINE,2,drivers
ELAINE,1,returns
ELAINE,1,reflects
ELAINE,6,weird
ELAINE,5,ben
ELAINE,2,stabbing
ELAINE,3,chips
ELAINE,55,let's
ELAINE,1,sacrcastic
ELAINE,65,need
ELAINE,1,jong
ELAINE,1,arnold
ELAINE,4,sticking
ELAINE,7,stick
ELAINE,15,hard
ELAINE,1,slow-witted
ELAINE,1,levitan
ELAINE,3,stabbed
ELAINE,8,most
ELAINE,2,exhausted
ELAINE,13,fifty
ELAINE,13,ready
ELAINE,1,addition
ELAINE,1,covered
ELAINE,1,bouchard's
ELAINE,2,paccino's
ELAINE,5,leslie
ELAINE,1,fliers
ELAINE,1,root
ELAINE,1,pressed
ELAINE,1,dion
ELAINE,4,jackass
ELAINE,1,hadn't--
ELAINE,2,son's
ELAINE,2,mushrooms
ELAINE,1,y-yeah
ELAINE,1,cents
ELAINE,5,broken
ELAINE,1,debunked
ELAINE,3,shiksa
ELAINE,1,caffeine
ELAINE,53,let
ELAINE,1,growing
ELAINE,23,later
ELAINE,1,matzah
ELAINE,1,fiance-time
ELAINE,1,transmission
ELAINE,1,bowled
ELAINE,1,film
ELAINE,1,chowder
ELAINE,1,colony
ELAINE,1,uhuh
ELAINE,1,yesss
ELAINE,8,certainly
ELAINE,1,dismayed
ELAINE,18,side
ELAINE,1,pet
ELAINE,1,vaya
ELAINE,8,box
ELAINE,2,equipment
ELAINE,3,rid
ELAINE,4,screams
ELAINE,10,salad
ELAINE,2,bizarro
ELAINE,2,clutches
ELAINE,8,he'd
ELAINE,1,92
ELAINE,1,arbys
ELAINE,2,belli
ELAINE,9,bedroom
ELAINE,14,cant
ELAINE,4,julie
ELAINE,1,oughta
ELAINE,3,silently
ELAINE,10,caught
ELAINE,1,jujyfruits
ELAINE,11,embarrassed
ELAINE,5,dream
ELAINE,17,bag
ELAINE,1,together'
ELAINE,7,chance
ELAINE,3,nowhere
ELAINE,2,superhero
ELAINE,1,waldenbooks
ELAINE,104,god
ELAINE,7,careful
ELAINE,1,underground
ELAINE,3,century
ELAINE,190,can't
ELAINE,1,shuttle
ELAINE,3,craig
ELAINE,2,dollar
ELAINE,2,carochio
ELAINE,1,mango
ELAINE,2,man's
ELAINE,1,approval
ELAINE,19,change
ELAINE,19,pointing
ELAINE,1,necessarily
ELAINE,1,carousel
ELAINE,1,desperately
ELAINE,2,serve
ELAINE,1,swallow
ELAINE,2,portuguese
ELAINE,7,queens
ELAINE,1,blueprint
ELAINE,9,y'know
ELAINE,1,evelyn
ELAINE,53,looks
ELAINE,1,anyhow
ELAINE,3,impression
ELAINE,1,kristin
ELAINE,7,yada
ELAINE,1,straightening
ELAINE,91,thing
ELAINE,1,advance
ELAINE,1,auditted
ELAINE,2,ap
ELAINE,12,fantastic
ELAINE,1,ironically
ELAINE,2,drawings
ELAINE,3,quitting
ELAINE,1,gum--
ELAINE,23,bathroom
ELAINE,1,la
ELAINE,1,reported
ELAINE,3,agree
ELAINE,4,join
ELAINE,1,approaches
ELAINE,1,reopen;
ELAINE,2,squinting
ELAINE,1,kenya
ELAINE,6,turning
ELAINE,1,wings
ELAINE,2,suing
ELAINE,3,sponges
ELAINE,2,ash's
ELAINE,1,gate
ELAINE,1,shamelessly
ELAINE,1,swooshy
ELAINE,7,cape
ELAINE,3,pull
ELAINE,1,tossing
ELAINE,1,sentences
ELAINE,1,tattooed
ELAINE,1,carlitto
ELAINE,1,year-old's
ELAINE,1,lainie
ELAINE,4,shes
ELAINE,1,optimist
ELAINE,1,joseph
ELAINE,1,suede
ELAINE,2,sidewalk
ELAINE,2,schwinn
ELAINE,1,torture
ELAINE,4,blame
ELAINE,54,away
ELAINE,2,eats
ELAINE,1,resentment
ELAINE,5,homeless
ELAINE,7,sub
ELAINE,1,editor-in-chief
ELAINE,1,surprising
ELAINE,3,annoying
ELAINE,2,dear
ELAINE,1,psycho
ELAINE,44,called
ELAINE,8,kinda
ELAINE,1,gail's
ELAINE,1,eyeing
