Character,Frequency,Word
ELAINE,18,close
ELAINE,23,dinner
ELAINE,16,trouble
ELAINE,6,manuscript
ELAINE,24,forget
ELAINE,10,label
ELAINE,6,sarcastically
ELAINE,29,than
ELAINE,9,invitation
ELAINE,30,course
ELAINE,94,doing
ELAINE,11,alone
ELAINE,46,day
ELAINE,209,mean
ELAINE,13,ridiculous
ELAINE,13,sees
ELAINE,14,sweater
ELAINE,7,outta
ELAINE,11,miss
ELAINE,17,sue
ELAINE,7,straight
ELAINE,50,door
ELAINE,22,break
ELAINE,10,insane
ELAINE,8,papers
ELAINE,6,florida
ELAINE,54,anyway
ELAINE,7,hum
ELAINE,153,now
ELAINE,124,ha
ELAINE,10,eyes
ELAINE,10,tim
ELAINE,9,town
ELAINE,25,hu
ELAINE,7,bottle
ELAINE,49,wanna
ELAINE,11,purse
ELAINE,13,almost
ELAINE,14,though
ELAINE,7,airport
ELAINE,51,last
ELAINE,9,pounds
ELAINE,13,seat
ELAINE,7,problems
ELAINE,9,moved
ELAINE,127,some
ELAINE,6,weird
ELAINE,55,let's
ELAINE,65,need
ELAINE,7,stick
ELAINE,15,hard
ELAINE,8,most
ELAINE,13,fifty
ELAINE,13,ready
ELAINE,53,let
ELAINE,23,later
ELAINE,8,certainly
ELAINE,18,side
ELAINE,8,box
ELAINE,10,salad
ELAINE,8,he'd
ELAINE,9,bedroom
ELAINE,14,cant
ELAINE,10,caught
ELAINE,11,embarrassed
ELAINE,17,bag
ELAINE,7,chance
ELAINE,104,god
ELAINE,7,careful
ELAINE,190,can't
ELAINE,19,change
ELAINE,19,pointing
ELAINE,7,queens
ELAINE,9,y'know
ELAINE,53,looks
ELAINE,7,yada
ELAINE,91,thing
ELAINE,12,fantastic
ELAINE,23,bathroom
ELAINE,6,turning
ELAINE,7,cape
ELAINE,54,away
ELAINE,7,sub
ELAINE,44,called
ELAINE,8,kinda
ELAINE,149,an
ELAINE,21,parents
ELAINE,30,date
ELAINE,6,family
ELAINE,10,georgie
ELAINE,9,early
ELAINE,35,hair
ELAINE,8,idiot
ELAINE,7,signal
ELAINE,81,into
ELAINE,671,me
ELAINE,11,health
ELAINE,9,indicating
ELAINE,6,squares
ELAINE,11,surprise
ELAINE,10,hurt
ELAINE,6,hurry
ELAINE,11,vincent
ELAINE,6,pulls
ELAINE,87,too
ELAINE,7,trip
ELAINE,18,bring
ELAINE,12,turn
ELAINE,14,cold
ELAINE,19,best
ELAINE,16,six
ELAINE,20,few
ELAINE,17,probably
ELAINE,9,popcorn
ELAINE,8,tickets
ELAINE,7,butt
ELAINE,66,phone
ELAINE,8,engaged
ELAINE,15,aren't
ELAINE,6,single
ELAINE,7,short
ELAINE,20,deal
ELAINE,16,glass
ELAINE,8,drake
ELAINE,10,tries
ELAINE,10,pain
ELAINE,9,clothes
ELAINE,22,minute
ELAINE,10,until
ELAINE,25,hold
ELAINE,9,hungry
ELAINE,9,speak
ELAINE,14,thats
ELAINE,10,free
ELAINE,12,club
ELAINE,8,sort
ELAINE,10,school
ELAINE,13,interested
ELAINE,10,sometimes
ELAINE,8,surprised
ELAINE,16,picks
ELAINE,99,listen
ELAINE,6,positive
ELAINE,9,aah
ELAINE,10,hope
ELAINE,8,cup
ELAINE,105,down
ELAINE,6,exclamation
ELAINE,21,coat
ELAINE,9,shop
ELAINE,13,part
ELAINE,42,'em
ELAINE,6,park
ELAINE,435,jerry
ELAINE,15,four
ELAINE,8,chart
ELAINE,331,right
ELAINE,222,they
ELAINE,54,name
ELAINE,7,testikov
ELAINE,39,lot
ELAINE,8,sarcastic
ELAINE,28,years
ELAINE,7,nuts
ELAINE,188,look
ELAINE,43,long
ELAINE,92,huh
ELAINE,74,around
ELAINE,11,button
ELAINE,12,brett
ELAINE,19,used
ELAINE,6,body
ELAINE,7,kill
ELAINE,9,fur
ELAINE,45,idea
ELAINE,11,costanza
ELAINE,9,uh-huh
ELAINE,234,can
ELAINE,10,sir
ELAINE,170,want
ELAINE,19,hit
ELAINE,8,noticed
ELAINE,8,shoulder
ELAINE,12,heavy
ELAINE,7,figure
ELAINE,9,wonderful
ELAINE,11,magazine
ELAINE,16,mouth
ELAINE,21,hot
ELAINE,62,wait
ELAINE,7,knife
ELAINE,11,joe
ELAINE,26,street
ELAINE,45,love
ELAINE,12,catalog
ELAINE,13,ones
ELAINE,6,starting
ELAINE,6,laughter
ELAINE,6,we'd
ELAINE,23,asked
ELAINE,12,cannot
ELAINE,11,beth
ELAINE,8,pants
ELAINE,40,problem
ELAINE,7,longer
ELAINE,38,pitt
ELAINE,7,cat
ELAINE,9,lloyd
ELAINE,10,ride
ELAINE,7,instead
ELAINE,108,should
ELAINE,6,ball
ELAINE,6,inside
ELAINE,7,anna
ELAINE,6,yup
ELAINE,7,aw
ELAINE,11,goin'
ELAINE,8,intercom
ELAINE,30,keep
ELAINE,7,paying
ELAINE,33,always
ELAINE,10,teeth
ELAINE,9,pizza
ELAINE,27,thinking
ELAINE,11,fault
ELAINE,7,hal
ELAINE,15,'cause
ELAINE,7,die
ELAINE,18,lost
ELAINE,15,window
ELAINE,22,thousand
ELAINE,10,jacket
ELAINE,18,bucks
ELAINE,9,foot
ELAINE,25,calling
ELAINE,12,nobody
ELAINE,19,couple
ELAINE,30,we'll
ELAINE,33,feel
ELAINE,15,times
ELAINE,29,movie
ELAINE,65,car
ELAINE,9,normal
ELAINE,72,ok
ELAINE,7,whoa
ELAINE,24,minutes
ELAINE,13,twenty
ELAINE,281,hey
ELAINE,40,meet
ELAINE,28,job
ELAINE,31,five
ELAINE,11,bought
ELAINE,18,women
ELAINE,12,space
ELAINE,7,write
ELAINE,17,least
ELAINE,12,jer
ELAINE,259,how
ELAINE,39,move
ELAINE,11,important
ELAINE,6,type
ELAINE,7,fire
ELAINE,10,mail
ELAINE,10,benes
ELAINE,11,game
ELAINE,8,personality
ELAINE,7,tried
ELAINE,15,you'll
ELAINE,6,yelling
ELAINE,6,dick
ELAINE,16,cake
ELAINE,10,dress
ELAINE,6,downtown
ELAINE,8,shirt
ELAINE,10,shocked
ELAINE,51,laughs
ELAINE,11,sound
ELAINE,12,bald
ELAINE,34,saw
ELAINE,24,thinks
ELAINE,9,ohhh
ELAINE,6,lie
ELAINE,10,poor
ELAINE,10,exciting
ELAINE,7,ive
ELAINE,14,movies
ELAINE,12,arms
ELAINE,33,laughing
ELAINE,10,many
ELAINE,6,restaurant
ELAINE,13,forgot
ELAINE,35,baby
ELAINE,8,dan
ELAINE,6,lives
ELAINE,111,time
ELAINE,7,yorker
ELAINE,6,putumayo
ELAINE,22,dollars
ELAINE,6,barneys
ELAINE,17,bob
ELAINE,126,as
ELAINE,11,feeling
ELAINE,7,horse
ELAINE,6,sob
ELAINE,8,stopped
ELAINE,6,threw
ELAINE,17,enters
ELAINE,6,theres
ELAINE,74,people
ELAINE,63,they're
ELAINE,12,using
ELAINE,6,goodbye
ELAINE,216,kramer
ELAINE,38,coming
ELAINE,8,uncomfortable
ELAINE,9,russell
ELAINE,15,business
ELAINE,16,yep
ELAINE,11,mention
ELAINE,6,watching
ELAINE,44,ask
ELAINE,17,beautiful
ELAINE,14,wish
ELAINE,78,sure
ELAINE,14,bit
ELAINE,15,upset
ELAINE,111,very
ELAINE,15,meeting
ELAINE,8,send
ELAINE,8,rabbi
ELAINE,23,food
ELAINE,15,noreen
ELAINE,11,fred
ELAINE,31,every
ELAINE,9,christmas
ELAINE,20,boyfriend
ELAINE,22,mine
ELAINE,6,awful
ELAINE,15,reason
ELAINE,22,walking
ELAINE,17,myself
ELAINE,16,makes
ELAINE,7,year
ELAINE,16,eating
ELAINE,24,ohh
ELAINE,6,letter
ELAINE,10,gone
ELAINE,22,jerry's
ELAINE,23,anymore
ELAINE,23,front
ELAINE,196,gonna
ELAINE,6,killing
ELAINE,18,everyone
ELAINE,661,know
ELAINE,88,big
ELAINE,10,cause
ELAINE,122,over
ELAINE,11,completely
ELAINE,22,point
ELAINE,40,head
ELAINE,20,everybody
ELAINE,124,little
ELAINE,8,sandra
ELAINE,15,herself
ELAINE,61,still
ELAINE,316,we
ELAINE,34,only
ELAINE,20,machine
ELAINE,12,kevin
ELAINE,19,starts
ELAINE,10,jake
ELAINE,18,sex
ELAINE,292,all
ELAINE,15,knew
ELAINE,6,beat
ELAINE,8,pushes
ELAINE,17,quite
ELAINE,8,it'll
ELAINE,6,seriously
ELAINE,6,bubble
ELAINE,9,act
ELAINE,43,find
ELAINE,91,anything
ELAINE,11,ticket
ELAINE,7,dunno
ELAINE,6,paul
ELAINE,68,put
ELAINE,7,wine
ELAINE,8,bean
ELAINE,21,fun
ELAINE,8,serious
ELAINE,12,without
ELAINE,26,together
ELAINE,41,who's
ELAINE,8,throw
ELAINE,7,clown
ELAINE,7,nothin'
ELAINE,272,george
ELAINE,32,someone
ELAINE,12,either
ELAINE,15,each
ELAINE,22,watch
ELAINE,6,fork
ELAINE,12,chair
ELAINE,28,sit
ELAINE,7,vest
ELAINE,28,making
ELAINE,9,bowl
ELAINE,73,gotta
ELAINE,32,met
ELAINE,16,order
ELAINE,7,amazing
ELAINE,7,could've
ELAINE,29,enough
ELAINE,16,picture
ELAINE,93,what's
ELAINE,144,i'll
ELAINE,19,card
ELAINE,12,waiting
ELAINE,10,heh
ELAINE,10,stand
ELAINE,32,home
ELAINE,37,whole
ELAINE,7,followed
ELAINE,6,cheryl
ELAINE,8,rifkin
ELAINE,7,fix
ELAINE,14,half
ELAINE,12,top
ELAINE,27,lippman
ELAINE,6,tennis
ELAINE,14,yet
ELAINE,9,grabs
ELAINE,6,wonder
ELAINE,17,eh
ELAINE,42,through
ELAINE,42,three
ELAINE,15,c'mon
ELAINE,6,germs
ELAINE,13,since
ELAINE,6,pal
ELAINE,8,blah
ELAINE,7,you'd
ELAINE,17,worked
ELAINE,7,bra
ELAINE,7,sponge
ELAINE,13,along
ELAINE,56,thank
ELAINE,119,something
ELAINE,153,were
ELAINE,6,cut
ELAINE,11,s
ELAINE,8,dead
ELAINE,6,stops
ELAINE,9,saturday
ELAINE,13,smell
ELAINE,170,okay
ELAINE,18,where's
ELAINE,16,sits
ELAINE,6,sold
ELAINE,7,kid
ELAINE,240,uh
ELAINE,63,new
ELAINE,9,visit
ELAINE,70,any
ELAINE,7,boys
ELAINE,63,looking
ELAINE,19,fake
